Date,Open,High,Low,Close,Adj Close,Volume,Change
2021-08-23,303.244995,305.399994,301.850006,304.649994,304.093658,22830157,0.004633
2021-08-24,305.019989,305.649994,302.003510,302.619995,302.067352,18175774,-0.007868
2021-08-25,304.299988,304.589996,300.420013,302.010010,301.458496,20006057,-0.007525
2021-08-26,300.989990,302.428986,298.950012,299.089996,298.543823,17666084,-0.006312
2021-08-27,298.987000,300.869995,296.829987,299.720001,299.172668,22605726,0.002452
2021-08-30,301.114990,304.220001,301.059998,303.589996,303.035583,16348072,0.008219
2021-08-31,304.420013,304.500000,301.500000,301.880005,301.328735,26285338,-0.008344
2021-09-01,302.864990,305.190002,301.489990,301.829987,301.278809,18983826,-0.003417
2021-09-02,302.200012,303.360199,300.179993,301.149994,300.600037,16290545,-0.003475
2021-09-03,300.989990,302.600006,300.260010,301.140015,300.590088,14751610,0.000498
2021-09-07,301.005005,301.089996,298.200012,300.179993,299.631805,17184083,-0.002741
2021-09-08,299.779999,300.609985,297.465088,300.209991,299.661743,15046819,0.001434
2021-09-09,300.820007,302.140015,297.000000,297.250000,296.707184,19927000,-0.011868
2021-09-10,298.415009,299.920013,295.380005,295.709991,295.169983,19633363,-0.009065
2021-09-13,297.549988,298.540009,294.079987,296.989990,296.447632,23652949,-0.001882
2021-09-14,299.559998,301.390015,298.100006,299.790009,299.242554,21853433,0.000768
2021-09-15,303.260010,305.320007,301.820007,304.820007,304.263367,28356304,0.005144
2021-09-16,303.760010,305.309998,300.760010,305.220001,304.662628,19550815,0.004806
2021-09-17,304.170013,304.500000,299.529999,299.869995,299.322388,41372457,-0.014137
2021-09-20,296.329987,298.720001,289.519989,294.299988,293.762543,38278661,-0.006850
2021-09-21,295.690002,297.540009,294.070007,294.799988,294.261627,22364103,-0.003010
2021-09-22,296.725006,300.220001,294.510010,298.579987,298.034729,26626342,0.006252
2021-09-23,298.845001,300.899994,297.533905,299.559998,299.012939,18604601,0.002393
2021-09-24,298.230011,299.799988,296.929993,299.350006,298.803345,14998978,0.003755
2021-09-27,296.140015,296.470001,292.944885,294.170013,293.632813,23571742,-0.006652
2021-09-28,289.795013,290.779999,282.750000,283.519989,283.002228,43186237,-0.021653
2021-09-29,285.100006,286.769989,283.010010,284.000000,283.481354,26353696,-0.003858
2021-09-30,285.709991,287.829987,281.619995,281.920013,281.405182,32343635,-0.013265
2021-10-01,282.121704,289.980011,281.290009,289.100006,288.572052,30086280,0.024735
2021-10-04,287.399994,287.750000,280.250000,283.109985,282.592987,31350747,-0.014927
2021-10-05,284.046387,290.398010,284.046387,288.760010,288.232697,24993024,0.016595
2021-10-06,285.779999,293.630005,285.509308,293.109985,292.574707,28002559,0.025649
2021-10-07,295.174988,296.640015,293.920013,294.850006,294.311554,20430471,-0.001101
2021-10-08,296.218994,296.640900,293.760010,294.850006,294.311554,17685700,-0.004622
2021-10-11,292.920013,297.970001,292.744995,294.230011,293.692688,19298634,0.004472
2021-10-12,295.339996,295.440002,292.350006,292.880005,292.345154,17974143,-0.008329
2021-10-13,294.910004,297.279999,293.489990,296.309998,295.768890,23424025,0.004747
2021-10-14,299.209991,303.269989,297.829987,302.750000,302.197113,27262902,0.011831
2021-10-15,302.339996,304.450012,300.519104,304.209991,303.654449,25384803,0.006185
2021-10-18,303.570007,308.209991,302.690002,307.290009,306.728851,22729297,0.012254
2021-10-19,308.347992,309.299988,307.220001,308.230011,307.667145,17682139,-0.000383
2021-10-20,309.209991,309.700012,306.109985,307.410004,306.848633,16537069,-0.005821
2021-10-21,307.170197,311.019989,306.359985,310.760010,310.192505,16918100,0.011687
2021-10-22,310.399994,311.089996,307.799988,309.160004,308.595428,17449332,-0.003995
2021-10-25,309.359985,309.399994,306.459991,308.130005,307.567322,17554469,-0.003976
2021-10-26,311.000000,312.394989,308.596710,310.109985,309.543671,28107349,-0.002862
2021-10-27,316.000000,326.097290,316.000000,323.170013,322.579865,52588690,0.022690
2021-10-28,324.325012,324.869995,321.360107,324.350006,323.757690,26297943,0.000077
2021-10-29,324.130005,332.000000,323.899994,331.619995,331.014404,34765982,0.023108
2021-11-01,331.355011,331.489990,326.369995,329.369995,328.768524,27073182,-0.005991
